Actual,Predicted_Probability,Predicted_Label,Risk_Level,Top_Features
1,0.7529171192931435,1,High,"tenure, TotalCharges_24.8, InternetService_Fiber optic, Contract_Two year, MonthlyCharges"
0,0.08290214471560772,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, MultipleLines_Yes, Contract_Two year"
0,0.007968062326300207,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
1,0.7678792683601035,1,High,"tenure, TotalCharges_76.35, InternetService_Fiber optic, Contract_Two year, PaperlessBilling_Yes"
0,0.009142325760200541,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, TechSupport_Yes, PaperlessBilling_Yes"
1,0.2645904285980687,0,Low,"tenure, InternetService_Fiber optic, StreamingMovies_Yes, MonthlyCharges, Contract_Two year"
0,0.0531183514646647,0,Low,"Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, MultipleLines_Yes, StreamingTV_Yes"
0,0.0049084639820892355,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
1,0.04103594402233615,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, StreamingMovies_Yes, MonthlyCharges"
1,0.10767568220042215,0,Low,"tenure, InternetService_Fiber optic, TotalCharges_19.4, MonthlyCharges, PaperlessBilling_Yes"
0,0.10459990722979856,0,Low,"tenure, InternetService_Fiber optic, TotalCharges_20.45, MonthlyCharges, PaperlessBilling_Yes"
0,0.3610710153850372,0,Low,"InternetService_Fiber optic, Contract_Two year, StreamingTV_Yes, tenure, StreamingMovies_Yes"
0,0.1846383140373725,0,Low,"Contract_One year, InternetService_Fiber optic, MultipleLines_Yes, Contract_Two year, PaymentMethod_Electronic check"
1,0.5563222937424488,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, MultipleLines_Yes, TechSupport_Yes"
0,0.07210197796532186,0,Low,"InternetService_Fiber optic, TotalCharges_330.8, tenure, MonthlyCharges, PaperlessBilling_Yes"
1,0.7629562384845936,1,High,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, MonthlyCharges"
1,0.37837123589031557,0,Low,"tenure, InternetService_Fiber optic, Contract_Two year, PaperlessBilling_Yes, MultipleLines_Yes"
1,0.7182021571087731,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, TotalCharges_70, PaymentMethod_Electronic check"
0,0.47304468826156026,0,Medium,"InternetService_Fiber optic, Contract_Two year, tenure, MultipleLines_Yes, MonthlyCharges"
1,0.4929872848323282,0,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, MonthlyCharges, PaymentMethod_Electronic check"
0,0.7410846606440898,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, TotalCharges_70.25, PaymentMethod_Electronic check"
0,0.380244068997983,0,Low,"TotalCharges_19.45, tenure, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
0,0.2607043674571746,0,Low,"InternetService_Fiber optic, tenure, MultipleLines_Yes, Contract_Two year, StreamingMovies_Yes"
0,0.14030685168422297,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, OnlineSecurity_Yes"
0,0.1941528577123976,0,Low,"InternetService_Fiber optic, Contract_One year, tenure, MonthlyCharges, OnlineSecurity_Yes"
1,0.3446338494166324,0,Low,"tenure, InternetService_Fiber optic, Contract_Two year, TechSupport_Yes, MultipleLines_Yes"
1,0.3396021330388973,0,Low,"InternetService_Fiber optic, tenure, Contract_Two year, MonthlyCharges, MultipleLines_Yes"
0,0.17088775439915477,0,Low,"InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes, Contract_Two year, PaymentMethod_Electronic check"
0,0.7452135932037587,1,High,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.018495327973611277,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.27352875369689666,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, OnlineSecurity_Yes"
0,0.016103985501044762,0,Low,"Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, PaymentMethod_Electronic check"
0,0.023377927069277677,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, StreamingMovies_Yes, TechSupport_Yes"
0,0.03144405541992484,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.19794772742296332,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes, MonthlyCharges"
0,0.02454616333994412,0,Low,"Contract_Two year, InternetService_Fiber optic, MonthlyCharges, tenure, PaperlessBilling_Yes"
0,0.006405256387920736,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaymentMethod_Electronic check"
1,0.6301383456761209,1,Medium,"InternetService_Fiber optic, Contract_Two year, MonthlyCharges, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.23289195335226906,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, StreamingMovies_Yes"
1,0.3073667110385434,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes, Contract_Two year"
1,0.648742558607395,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, StreamingMovies_Yes"
0,0.23668030960046718,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, StreamingMovies_Yes"
1,0.7359590014840447,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, MultipleLines_Yes"
0,0.11434281291140222,0,Low,"InternetService_Fiber optic, Contract_One year, tenure, PaperlessBilling_Yes, PaymentMethod_Electronic check"
1,0.621915540856108,1,Medium,"InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, MonthlyCharges, MultipleLines_Yes"
0,0.015268216980276906,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
1,0.5055679305305059,1,Medium,"tenure, InternetService_Fiber optic, TotalCharges_503.6, Contract_Two year, OnlineSecurity_Yes"
1,0.5501749791317699,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, PaymentMethod_Electronic check, StreamingMovies_Yes"
1,0.6639662740446809,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, PaperlessBilling_Yes"
1,0.08698284716656048,0,Low,"Contract_One year, InternetService_Fiber optic, TechSupport_Yes, Contract_Two year, PaymentMethod_Electronic check"
0,0.09496216098725502,0,Low,"InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, tenure, Contract_Two year"
0,0.23932587131341715,0,Low,"InternetService_Fiber optic, MonthlyCharges, Contract_Two year, TechSupport_Yes, MultipleLines_No phone service"
0,0.039241707780155066,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, OnlineSecurity_Yes"
0,0.0649886025575046,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, StreamingMovies_Yes, MonthlyCharges"
0,0.19671563744829798,0,Low,"tenure, InternetService_Fiber optic, StreamingMovies_Yes, MonthlyCharges, TechSupport_Yes"
0,0.008591835937662124,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
0,0.016393779738717015,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, MonthlyCharges"
0,0.5613712490239219,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, MonthlyCharges, StreamingMovies_Yes"
0,0.19361269147536464,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, MultipleLines_Yes"
0,0.6907326153296128,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, MonthlyCharges"
0,0.2319661829651454,0,Low,"InternetService_Fiber optic, Contract_One year, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.2595961864046415,0,Low,"tenure, InternetService_Fiber optic, PaperlessBilling_Yes, TechSupport_Yes, Contract_Two year"
0,0.16840990269460046,0,Low,"TotalCharges_267.35, tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.0437546680920069,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes"
1,0.5431513625508984,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.005331774976836129,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.016678339637044442,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaymentMethod_Electronic check"
0,0.020496579631693247,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.026687262797917482,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.012479346228381578,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, OnlineSecurity_Yes, MultipleLines_Yes"
